soc2010,soc2010_title,noc2011,noc2011_title
19-3011,Economists,4162,Economists and economic policy researchers and analysts
19-3022,Survey Researchers,4164,"Social policy researchers, consultants and program officers"
19-3031,"Clinical, Counseling, and School Psychologists",4151,Psychologists
19-3032,Industrial-Organizational Psychologists,4151,Psychologists
19-3039,"Psychologists, All Other",4151,Psychologists
19-3041,Sociologists,4169,"Other professional occupations in social science, n.e.c."
19-3051,Urban and Regional Planners,0212,Architecture and science managers
19-3051,Urban and Regional Planners,2153,Urban and land use planners
19-3091,Anthropologists and Archeologists,4169,"Other professional occupations in social science, n.e.c."
19-3092,Geographers,4169,"Other professional occupations in social science, n.e.c."
19-3093,Historians,4169,"Other professional occupations in social science, n.e.c."
19-3094,Political Scientists,4168,Program officers unique to government
19-3094,Political Scientists,4169,"Other professional occupations in social science, n.e.c."
19-3099,"Social Scientists and Related Workers, All Other",4164,"Social policy researchers, consultants and program officers"
19-3099,"Social Scientists and Related Workers, All Other",4167,"Recreation, sports and fitness policy researchers, consultants and program officers"
19-3099,"Social Scientists and Related Workers, All Other",4168,Program officers unique to government
19-3099,"Social Scientists and Related Workers, All Other",4169,"Other professional occupations in social science, n.e.c."
19-4011,Agricultural and Food Science Technicians,2211,Chemical technologists and technicians
19-4011,Agricultural and Food Science Technicians,2221,Biological technologists and technicians
19-4021,Biological Technicians,2221,Biological technologists and technicians
19-4031,Chemical Technicians,2211,Chemical technologists and technicians
19-4041,Geological and Petroleum Technicians,2212,Geological and mineral technologists and technicians
19-4051,Nuclear Technicians,2211,Chemical technologists and technicians
19-4051,Nuclear Technicians,2232,Mechanical engineering technologists and technicians
19-4061,Social Science Research Assistants,1254,Statistical officers and related research support occupations
19-4061,Social Science Research Assistants,4012,Post-secondary teaching and research assistants
19-4091,"Environmental Science and Protection Technicians, Including Health",2231,Civil engineering technologists and technicians
19-4092,Forensic Science Technicians,2211,Chemical technologists and technicians
19-4092,Forensic Science Technicians,2221,Biological technologists and technicians
19-4093,Forest and Conservation Technicians,2223,Forestry technologists and technicians
19-4099,"Life, Physical, and Social Science Technicians, All Other",2212,Geological and mineral technologists and technicians
19-4099,"Life, Physical, and Social Science Technicians, All Other",2255,Technical occupations in geomatics and meteorology
19-4099,"Life, Physical, and Social Science Technicians, All Other",6541,Security guards and related security service occupations
21-1011,Substance Abuse and Behavioral Disorder Counselors,4153,"Family, marriage and other related counsellors"
21-1012,"Educational, Guidance, School, and Vocational Counselors",4033,Educational counsellors
21-1013,Marriage and Family Therapists,4153,"Family, marriage and other related counsellors"
21-1014,Mental Health Counselors,4153,"Family, marriage and other related counsellors"
21-1015,Rehabilitation Counselors,4153,"Family, marriage and other related counsellors"
21-1019,"Counselors, All Other",4153,"Family, marriage and other related counsellors"
21-1019,"Counselors, All Other",4156,Employment counsellors
21-1021,"Child, Family, and School Social Workers",4152,Social workers
21-1022,Healthcare Social Workers,4152,Social workers
21-1023,Mental Health and Substance Abuse Social Workers,4152,Social workers
21-1029,"Social Workers, All Other",4152,Social workers
21-1091,Health Educators,4165,"Health policy researchers, consultants and program officers"
21-1092,Probation Officers and Correctional Treatment Specialists,4155,Probation and parole officers and related occupations
21-1093,Social and Human Service Assistants,4212,Social and community service workers
21-1094,Community Health Workers,4165,"Health policy researchers, consultants and program officers"
21-1099,"Community and Social Service Specialists, All Other",4212,Social and community service workers
21-2011,Clergy,4154,Professional occupations in religion
21-2011,Clergy,4217,Other religious occupations
21-2021,"Directors, Religious Activities and Education",0423,"Managers in social, community and correctional services"
21-2021,"Directors, Religious Activities and Education",4217,Other religious occupations
21-2099,"Religious Workers, All Other",4217,Other religious occupations
23-1011,Lawyers,4112,Lawyers and Quebec notaries
23-1012,Judicial Law Clerks,1416,Court clerks
23-1021,"Administrative Law Judges, Adjudicators, and Hearing Officers",1227,Court officers and justices of the peace
23-1021,"Administrative Law Judges, Adjudicators, and Hearing Officers",1228,"Employment insurance, immigration, border services and revenue officers"
23-1022,"Arbitrators, Mediators, and Conciliators",1121,Human resources professionals
23-1023,"Judges, Magistrate Judges, and Magistrates",4111,Judges
23-2011,Paralegals and Legal Assistants,4211,Paralegal and related occupations
23-2091,Court Reporters,1251,"Court reporters, medical transcriptionists and related occupations"
23-2093,"Title Examiners, Abstractors, and Searchers",4211,Paralegal and related occupations
23-2099,"Legal Support Workers, All Other",4211,Paralegal and related occupations
25-1011,"Business Teachers, Postsecondary",4011,University professors and lecturers
25-1011,"Business Teachers, Postsecondary",4021,College and other vocational instructors
25-1021,"Computer Science Teachers, Postsecondary",4011,University professors and lecturers
25-1021,"Computer Science Teachers, Postsecondary",4021,College and other vocational instructors
25-1022,"Mathematical Science Teachers, Postsecondary",4011,University professors and lecturers
25-1022,"Mathematical Science Teachers, Postsecondary",4021,College and other vocational instructors
25-1031,"Architecture Teachers, Postsecondary",4011,University professors and lecturers
25-1031,"Architecture Teachers, Postsecondary",4021,College and other vocational instructors
25-1032,"Engineering Teachers, Postsecondary",4011,University professors and lecturers
25-1032,"Engineering Teachers, Postsecondary",4021,College and other vocational instructors
25-1041,"Agricultural Sciences Teachers, Postsecondary",4011,University professors and lecturers
25-1041,"Agricultural Sciences Teachers, Postsecondary",4021,College and other vocational instructors
25-1042,"Biological Science Teachers, Postsecondary",4011,University professors and lecturers
