noc2011_code,noc2011_title,isco2008_code,isco2008_title,Explanatory_notes
2233,Industrial engineering and manufacturing technologists and technicians,3119,Physical and engineering science technicians not elsewhere classified,Industrial engineering and manufacturing technologists and technicians
2234,Construction estimators,3112,Civil engineering technicians,Construction estimators
2241,Electrical and electronics engineering technologists and technicians,3113,Electrical engineering technicians,
2241,Electrical and electronics engineering technologists and technicians,3114,Electronics engineering technicians,"Except instrumentation technicians, industrial"
2241,Electrical and electronics engineering technologists and technicians,3155,Air traffic safety electronics technicians,
2241,Electrical and electronics engineering technologists and technicians,3522,Telecommunications engineering technicians,
2242,Electronic service technicians (household and business equipment),7421,Electronics mechanics and servicers,"Except aircraft instrument and avionics mechanics, technicians and inspectors"
2242,Electronic service technicians (household and business equipment),7422,Information and communications technology installers and servicers,Electronic service technicians - information and communications technology
2243,Industrial instrument technicians and mechanics,3114,Electronics engineering technicians,"Instrumentation technicians, industrial"
2243,Industrial instrument technicians and mechanics,3139,Process control technicians not elsewhere classified,"Control technicians, nuclear generating station and heavy water plant"
2243,Industrial instrument technicians and mechanics,7311,Precision-instrument makers and repairers,Precision instrument mechanics
2243,Industrial instrument technicians and mechanics,7412,Electrical mechanics and fitters,Industrial instrument mechanics
2244,"Aircraft instrument, electrical and avionics mechanics, technicians and inspectors",7412,Electrical mechanics and fitters,Aircraft electrical mechanics and technicians
2244,"Aircraft instrument, electrical and avionics mechanics, technicians and inspectors",7421,Electronics mechanics and servicers,"Aircraft instrument and avionics mechanics, technicians and inspectors"
2251,Architectural technologists and technicians,3119,Physical and engineering science technicians not elsewhere classified,Architectural technologists and technicians
2252,Industrial designers,2163,Product and garment designers,"Except theatre, fashion, exhibit and other creative designers"
2253,Drafting technologists and technicians,3118,Draughtspersons,Except cartographic draftsmen/women
2254,Land survey technologists and technicians,3112,Civil engineering technicians,Land survey technicians
2254,Land survey technologists and technicians,3118,Draughtspersons,Cartographic draftsmen/women
2255,Technical occupations in geomatics and meteorology,2165,Cartographers and surveyors,Technical occupations in geomatics
2255,Technical occupations in geomatics and meteorology,3111,Chemical and physical science technicians,Technical occupations in meteorology
